sample_id species longitude latitude altitude Frac1 Frac2 Frac3
125 "Zea mays ssp. mays" -93.1752778 17.2163056 1525 0.8200380 0.0082670 0.1716950
174 "Zea mays ssp. mays" -105.8308333 23.4575000 1526 0.3853590 0.5536290 0.0610120
124 "Zea mays ssp. mays" -93.2060000 17.1968056 1545 0.7989930 0.0000100 0.2009970
150 "Zea mays ssp. mays" -92.0200833 16.2487778 1550 0.8453650 0.0000100 0.1546250
183 "Zea mays ssp. mays" -91.9374722 16.1952500 1550 0.8209430 0.0000100 0.1790470
186 "Zea mays ssp. mays" -91.9748889 16.2331389 1550 0.8185340 0.0000100 0.1814560
141 "Zea mays ssp. mays" -102.7166667 19.9666667 1550 0.6768260 0.1122880 0.2108860
83 "Zea mays ssp. mays" -91.9768889 16.2331944 1551 0.0000100 0.0000100 0.9999800
84 "Zea mays ssp. mays" -91.9163894 16.2156392 1552 0.0000100 0.0000100 0.9999800
82 "Zea mays ssp. mays" -91.9770278 16.1961111 1553 0.8031730 0.0000100 0.1968170
121 "Zea mays ssp. mays" -108.9255278 28.4106389 1570 0.2588370 0.6888070 0.0523560
28 "Zea mays ssp. mays" -97.5648889 19.9646667 1604 0.7879140 0.0000100 0.2120760
23 "Zea mays ssp. mays" -98.7418889 17.7779722 1685 0.9999800 0.0000100 0.0000100
102 "Zea mays ssp. mays" -98.3833333 20.3975000 1698 0.0000100 0.0000100 0.9999800
10 "Zea mays ssp. mays" -108.0082222 27.4347778 1734 0.1392930 0.5433290 0.3173780
148 "Zea mays ssp. mays" -101.1611111 20.3741667 1750 0.6784030 0.1323920 0.1892050
201 "Zea mays ssp. mays" -106.0163611 26.9421389 1775 0.4858960 0.3245020 0.1896020
106 "Zea mays ssp. mays" -100.1083333 19.0438889 1779 0.0000100 0.0000100 0.9999800
176 "Zea mays ssp. mays" -100.1083333 19.0438889 1779 0.2934320 0.3660240 0.3405450
103 "Zea mays ssp. mays" -100.1083333 19.0438889 1779 0.2829230 0.3811000 0.3359760
116 "Zea mays ssp. mays" -106.6324722 28.3201944 1791 0.2026760 0.6354660 0.1618570
41 "Zea mays ssp. mays" -100.7658333 20.7441667 1800 0.2668990 0.3070020 0.4261000
14 "Zea mays ssp. mays" -101.4052778 21.0086111 1823 0.0000100 0.0000100 0.9999800
86 "Zea mays ssp. mays" -92.2935833 15.3601111 1828 0.0057330 0.0000100 0.9942570
93 "Zea mays ssp. mays" -100.1686111 19.0525000 1830 0.2776160 0.4143330 0.3080510
94 "Zea mays ssp. mays" -100.1686111 19.0525000 1830 0.2651470 0.3889980 0.3458550
49 "Zea mays ssp. mays" -99.8050000 21.2775000 1850 0.7255890 0.0052610 0.2691500
42 "Zea mays ssp. mays" -100.8147222 20.7844444 1854 0.5356010 0.4643890 0.0000100
12 "Zea mays ssp. mays" -101.1188889 20.0911111 1877 0.3134380 0.2572050 0.4293570
92 "Zea mays ssp. mays" -108.7097222 29.8402778 1880 0.5261620 0.3952200 0.0786180
163 "Zea mays ssp. mays" -108.7097222 29.8402778 1880 0.0000100 0.6513460 0.3486440
151 "Zea mays ssp. mays" -103.4383300 19.9283300 1920 0.1552860 0.2403060 0.6044080
3 "Zea mays ssp. mays" -107.5830000 28.6857778 1975 0.0000100 0.5872110 0.4127790
25 "Zea mays ssp. mays" -106.6291111 28.4948889 2010 0.9999800 0.0000100 0.0000100
24 "Zea mays ssp. mays" -106.6322500 28.4967222 2010 0.0516030 0.3681100 0.5802870
156 "Zea mays ssp. mays" -106.6555000 28.5187222 2019 0.1063120 0.3703670 0.5233210
34 "Zea mays ssp. mays" -107.4748056 28.5028333 2034 0.6124600 0.0000100 0.3875300
126 "Zea mays ssp. mays" -92.3192500 15.3665278 2050 0.5558690 0.0000100 0.4441210
85 "Zea mays ssp. mays" -92.3145000 15.3660833 2057 0.0560260 0.4948510 0.4491230
72 "Zea mays ssp. mays" -98.3786111 20.3316667 2059 0.0000100 0.0000100 0.9999800
70 "Zea mays ssp. mays" -98.3372222 20.2213889 2068 0.0000100 0.6406250 0.3593650
162 "Zea mays ssp. mays" -100.9355556 20.7872222 2071 0.1935190 0.4946870 0.3117940
30 "Zea mays ssp. mays" -98.8094444 18.9680556 2073 0.9760540 0.0000100 0.0239360
75 "Zea mays ssp. mays" -98.3755556 20.3547222 2081 0.9988220 0.0000100 0.0011680
172 "Zea mays ssp. mays" -98.3755556 20.3547222 2081 0.0450710 0.0000100 0.9549190
33 "Zea mays ssp. mays" -106.8788889 28.1932222 2094 0.0000100 0.4916500 0.5083400
189 "Zea mays ssp. mays" -98.3738889 20.3588889 2104 0.0218480 0.0000100 0.9781420
185 "Zea mays ssp. mays" -97.9794167 19.9557778 2104 0.0766440 0.0000100 0.9233460
97 "Zea mays ssp. mays" -97.9794167 19.9557778 2104 0.0223600 0.0266710 0.9509680
74 "Zea mays ssp. mays" -98.3738889 20.3588889 2104 0.5567380 0.4331520 0.0101100
1 "Zea mays ssp. mays" -108.0796111 29.1131111 2106 0.0705990 0.3127390 0.6166620
146 "Zea mays ssp. mays" -97.9803333 19.9430556 2131 0.1695450 0.0000100 0.8304450
69 "Zea mays ssp. mays" -98.4311111 20.3391667 2133 0.1003860 0.0000100 0.8996040
71 "Zea mays ssp. mays" -98.2805556 20.0297222 2136 0.6848450 0.1185480 0.1966070
153 "Zea mays ssp. mays" -98.4050000 20.2866667 2143 0.0265200 0.0000100 0.9734700
73 "Zea mays ssp. mays" -98.2911111 20.2433333 2144 0.9999800 0.0000100 0.0000100
5 "Zea mays ssp. mays" -97.9808056 19.9340833 2159 0.0283830 0.0000100 0.9716070
19 "Zea mays ssp. mays" -103.6666667 19.9333333 2160 0.9999800 0.0000100 0.0000100
6 "Zea mays ssp. mays" -108.0152222 28.4553889 2215 0.0000100 0.6647480 0.3352420
8 "Zea mays ssp. mays" -108.0157778 28.4573056 2220 0.0200230 0.0366290 0.9433480
29 "Zea mays ssp. mays" -98.7786111 18.9975000 2226 0.9542060 0.0432580 0.0025350
27 "Zea mays ssp. mays" -98.7786111 18.9975000 2226 0.1615160 0.3045400 0.5339440
180 "Zea mays ssp. mays" -98.2747222 19.9986111 2297 0.0000100 0.0000100 0.9999800
166 "Zea mays ssp. mays" -92.5422222 16.6397500 2299 0.4083470 0.0000100 0.5916430
60 "Zea mays ssp. mays" -97.6522222 19.3191667 2358 0.2591650 0.3938230 0.3470120
154 "Zea mays ssp. mays" -98.7816667 19.0905556 2400 0.0000100 0.0000100 0.9999800
188 "Zea mays ssp. mays" -100.1675028 19.3520222 2452 0.0000100 0.0000100 0.9999800
181 "Zea mays ssp. mays" -98.0694444 19.3938889 2469 0.0000100 0.0000100 0.9999800
192 "Zea mays ssp. mays" -98.6472222 19.7594444 2479 0.0000100 0.0180440 0.9819460
68 "Zea mays ssp. mays" -97.9294444 19.2908333 2497 0.0000100 0.0000100 0.9999800
50 "Zea mays ssp. mays" -100.1372200 21.3575000 2500 0.1054500 0.0000100 0.8945400
67 "Zea mays ssp. mays" -97.9880556 19.3591667 2530 0.0112350 0.0000100 0.9887550
57 "Zea mays ssp. mays" -99.0502778 19.1916667 2530 0.0000100 0.0000100 0.9999800
170 "Zea mays ssp. mays" -99.9294444 19.7061111 2535 0.0000100 0.0000100 0.9999800
184 "Zea mays ssp. mays" -98.8038889 19.1036111 2536 0.0000100 0.0000100 0.9999800
56 "Zea mays ssp. mays" -99.7911111 19.5694444 2538 0.0000100 0.0000100 0.9999800
187 "Zea mays ssp. mays" -99.7911111 19.5694444 2538 0.0000100 0.0000100 0.9999800
63 "Zea mays ssp. mays" -97.9008333 19.2219444 2554 0.0000100 0.0000100 0.9999800
101 "Zea mays ssp. mays" -98.0483333 19.5188889 2557 0.0000100 0.0000100 0.9999800
191 "Zea mays ssp. mays" -98.8066667 19.1086111 2560 0.0000100 0.0000100 0.9999800
55 "Zea mays ssp. mays" -100.0255556 19.4908333 2576 0.6704830 0.0000100 0.3295070
190 "Zea mays ssp. mays" -100.0255556 19.4908333 2576 0.0000100 0.0000100 0.9999800
171 "Zea mays ssp. mays" -98.3155556 19.4875000 2584 0.0000100 0.0000100 0.9999800
43 "Zea mays ssp. mays" -99.5097222 19.1847222 2585 0.0000100 0.0000100 0.9999800
31 "Zea mays ssp. mays" -99.5088889 19.1963889 2585 0.8311210 0.0000100 0.1688690
37 "Zea mays ssp. mays" -99.5952778 19.4180889 2595 0.6668180 0.0177810 0.3154010
160 "Zea mays ssp. mays" -98.7723333 19.0555556 2600 0.0000100 0.0000100 0.9999800
44 "Zea mays ssp. mays" -100.0627778 19.4605556 2605 0.1066360 0.8933540 0.0000100
161 "Zea mays ssp. mays" -98.0472222 19.3386111 2620 0.0158280 0.0000100 0.9841620
66 "Zea mays ssp. mays" -97.9725000 19.3216667 2621 0.0422660 0.0000100 0.9577240
65 "Zea mays ssp. mays" -97.9247222 19.1905556 2640 0.0162990 0.0000100 0.9836910
179 "Zea mays ssp. mays" -99.9561111 19.6511111 2663 0.0000100 0.0000100 0.9999800
58 "Zea mays ssp. mays" -99.7171556 19.7983333 2688 0.0000100 0.0000100 0.9999800
32 "Zea mays ssp. mays" -99.6180556 19.1675000 2700 0.7809930 0.0000100 0.2189970
64 "Zea mays ssp. mays" -98.0566667 19.5997222 2745 0.2273090 0.7693430 0.0033480
54 "Zea mays ssp. mays" -106.4436667 26.3598333 2769 0.9999800 0.0000100 0.0000100
